schid,SCHLURBN,GRDRANGE,FLAGGK,FLAGG1,FLAGG2,FLAGG3,GKENRMNT,GKCHAPT1,GKFRLNCH,GKBUSED,GKNATVAM,GKASIAN,GKBLACK,GKHSPANC,GKWHITE,GKOTHRAC,G1ENRMNT,G1AVGDAT,G1AVGDMB,G1CHAPT1,G1FRLNCH,G1BUSED,G1NATVAM,G1ASIAN,G1BLACK,G1HSPANC,G1WHITE,G1OTHRAC,G2ENRMNT,G2AVGDAT,G2AVGDMB,G2CHAPT1,G2FRLNCH,G2BUSED,G2NATVAM,G2ASIAN,G2BLACK,G2HSPANC,G2WHITE,G2OTHRAC,G3ENRMNT,G3AVGDAT,G3AVGDMB,G3CHAPT1,G3FRLNCH,G3BUSED,G3NATVAM,G3ASIAN,G3BLACK,G3HSPANC,G3WHITE,G3OTHRAC
244801.0,SUBURBAN,K-6,Yes,Yes,Yes,Yes,555.0,NO,36.0,58.0,,,42.0,,58.0,0.0,636.0,604.0,636.0,NO,45.0,45.0,0.0,1.0,33.0,1.0,65.0,0.0,497.0,492.0,495.0,YES,39.0,35.0,0.0,1.0,49.0,0.0,50.0,0.0,525.0,500.0,525.0,YES,42.0,54.0,0.0,0.0,46.0,0.0,54.0,0.0
244806.0,INNER CITY,K-6,Yes,Yes,Yes,Yes,893.0,YES,85.0,0.0,,,99.0,,1.0,0.0,825.0,800.0,825.0,YES,85.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,856.0,834.0,839.0,YES,90.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,784.0,766.0,778.0,YES,88.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0
244818.0,INNER CITY,K-9,Yes,No,No,No,1400.0,YES,40.0,0.0,,,74.0,,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244831.0,SUBURBAN,K-6,Yes,Yes,Yes,Yes,470.0,YES,37.0,6.0,,,35.0,,65.0,0.0,550.0,500.0,530.0,YES,35.0,0.0,0.0,0.0,35.0,0.0,65.0,0.0,525.0,500.0,520.0,YES,40.0,7.0,0.0,0.0,35.0,0.0,65.0,0.0,540.0,525.0,530.0,YES,60.0,2.0,0.0,0.0,35.0,0.0,65.0,0.0
244839.0,SUBURBAN,K-6,Yes,Yes,Yes,Yes,680.0,NO,45.0,35.0,,,85.0,,15.0,0.0,760.0,730.0,755.0,NO,47.0,37.0,0.0,0.0,90.0,0.0,10.0,0.0,848.0,822.0,845.0,YES,41.0,29.0,0.0,0.0,93.0,0.0,7.0,0.0,732.0,710.0,727.0,NO,34.0,25.0,0.0,0.0,93.0,0.0,7.0,0.0
252885.0,RURAL,K-6,Yes,Yes,Yes,Yes,575.0,YES,30.0,98.0,,,16.0,,84.0,0.0,687.0,600.0,645.0,YES,33.0,95.0,0.0,0.0,22.0,0.0,78.0,0.0,674.0,650.0,666.0,YES,33.0,97.0,0.0,0.0,16.0,0.0,84.0,0.0,666.0,617.0,644.0,YES,85.0,90.0,0.0,1.0,15.0,0.0,84.0,0.0
253888.0,RURAL,K-8,Yes,Yes,Yes,Yes,468.0,YES,40.0,75.0,,,,10.0,90.0,0.0,432.0,401.0,426.0,YES,38.0,64.0,0.0,0.0,0.0,1.0,99.0,0.0,460.0,395.0,405.0,YES,37.0,68.0,0.0,0.0,0.0,6.0,94.0,0.0,480.0,451.0,467.0,YES,36.0,36.0,0.0,0.0,0.0,5.0,95.0,0.0
257899.0,RURAL,K-5,Yes,Yes,Yes,Yes,685.0,YES,30.0,99.0,,,,,100.0,0.0,638.0,597.0,636.0,YES,38.0,95.0,0.0,0.0,0.0,0.0,99.0,0.0,664.0,642.0,656.0,YES,37.0,98.0,0.0,0.0,1.0,0.0,99.0,0.0,628.0,607.0,626.0,YES,30.0,10.0,0.0,0.0,0.0,0.0,99.0,1.0
257905.0,URBAN,K-4,Yes,Yes,Yes,Yes,742.0,YES,28.0,94.0,,,2.0,,98.0,0.0,746.0,702.0,744.0,YES,37.0,90.0,0.0,0.0,4.0,0.0,96.0,0.0,759.0,741.0,757.0,YES,33.0,87.0,0.0,1.0,4.0,1.0,94.0,0.0,803.0,772.0,796.0,YES,33.0,87.0,0.0,1.0,3.0,0.0,96.0,0.0
259915.0,RURAL,K-4,Yes,Yes,Yes,Yes,395.0,YES,34.0,96.0,,,,,100.0,0.0,445.0,373.0,417.0,YES,78.0,99.0,0.0,0.0,0.0,1.0,99.0,0.0,398.0,384.0,394.0,YES,36.0,99.0,0.0,0.0,0.0,0.0,99.0,0.0,429.0,416.0,428.0,YES,41.0,96.0,0.0,0.0,0.0,0.0,99.0,0.0
261927.0,RURAL,K-6,Yes,Yes,Yes,Yes,567.0,YES,23.0,69.0,,,,,100.0,0.0,575.0,547.0,576.0,YES,28.0,70.0,0.0,0.0,0.0,0.0,99.0,0.0,560.0,541.0,554.0,YES,23.0,68.0,0.0,0.0,1.0,1.0,98.0,0.0,535.0,524.0,535.0,YES,22.0,70.0,0.0,0.0,0.0,0.0,99.0,0.0
262937.0,SUBURBAN,K-5,Yes,Yes,Yes,Yes,709.0,NO,1.0,98.0,,2.0,1.0,,97.0,0.0,507.0,480.0,503.0,NO,11.0,91.0,0.0,3.0,2.0,0.0,95.0,0.0,590.0,580.0,590.0,NO,0.0,88.0,0.0,0.0,1.0,0.0,96.0,3.0,627.0,620.0,627.0,NO,1.0,60.0,0.0,3.0,1.0,0.0,95.0,1.0
264945.0,SUBURBAN,K-6,Yes,Yes,Yes,Yes,805.0,NO,3.0,98.0,,,3.0,,98.0,0.0,869.0,542.0,864.0,NO,2.0,82.0,0.0,1.0,2.0,1.0,96.0,0.0,943.0,914.0,936.0,NO,1.0,75.0,0.0,0.0,4.0,1.0,95.0,0.0,988.0,953.0,978.0,NO,3.0,61.0,0.0,1.0,3.0,1.0,95.0,0.0
